Questions,Answer,,
"How do I apply?

","For directions on how to apply, please visit the web page for Graduate Admission Requirements .

",,
Hi ,Hello Sir,,
Hello  ,Hello Sir,,
Good Morining  ,Good Morining Sir,,
Good Noon  ,Good Noon Sir,,
Good Afternoon  ,Good Afternoon Sir,,
Thank you so much ,"You are welcome, Sir",,
Thanks,"Welcome, Sir",,
How are you?,I am fine and you?,,
Bye,Nice to meet you,,
Nice to meet you,Me too,,
Semester duretion?,"1 semester in 4 months.

",,
"How many months in a semester?

","1 semester in 4 months.

",,
"What criteria do you use for acceptance into your programs?

","evaluation process for applications is extremely complex, taking into account all the materials submitted with the application. Grade point average (GPA), GRE scores, TOEFL (for international students), letters of recommendation, and statement of purpose all play a role. First, the UCSD Graduate Admissions Office evaluates each application to determine whether or not their minimum standards for admission have been met. Then the CSE Department does a more thorough evaluation in a committee consisting of several faculty members. Sometimes the committee must draw on the experience of the faculty at-large to make an informed decision.

",,
"How much extra curriculum fee?

","About 18000 taka.

",,
extra curriculum fee?,"About 18000 taka.

",,
"How do I choose whether to apply to the MS or the PhD program?

","The answer to this question depends upon your individual career goals. Our PhD program is designed for students interested in research in computer science and computer engineering. The program prepares individuals for a career in academia as a professor at a research university or liberal arts college, or as a researcher in an industry or government research laboratory. The program typically takes 4-6 years to complete.

",,
first semester cost?,"Around 80,000 taka",,
first semester credit details?,Total 14 credits in first semester,,
Total credit of CSE?,Total 148  credits in CSE ,,
"Which semester how amount?

","Depend on your credit .

",,
"How much I have to pay as admission fee?

","About 15000 taka.

",,
admission fee,"About 15000 taka.

",,
"What is part time job ?

","yes, opportunity there.
",,
"How much I have to pay for admission today?

","About 37500 taka.

",,
Only admission fees?,"About 37500 taka.

",,
"How many semester in CSE?

","There are 12 semesters in this program.

",,
Total semester in CSE ,There are 12 semesters in this program.,,
"How many slots in a semester for paying total semester cost?

","It is payable on 3 slots

",,
How to pay smester fees?,"It is payable on 3 slots

",,
"Can I apply for both the MS and the PhD program

","You must choose to apply to one degree program or another within the Computer Science and Engineering department.

",,
"How much total Lab Cost?

","About 24000 taka.

",,
Lab fees?,"AIt's about 24000 taka.

",,
"Is there any condition for getting free laptop?

","Yes, your cgpa must be up to 2.50. Otherwise you lose the fee laptop.

",,
How I get free laptop?,"Yes, your cgpa must be up to 2.50. Otherwise you lose the fee laptop.

",,
"Is there any free laptop for each student?

","Yes. DIU will provide 1 laptop for each student.

",,
"is the graduate application deadline?

","The application deadline for Fall 2019 admission is December 17, 2019. 

",,
"How much cost in a semester?

","It will depend on your credit .

",,
"Total cost to complete CSE?

","About 759800 taka.

",,
Total fees for CSE program?,"About 759800 taka.

",,
Total amaount of CSE Day graduation program ?,"About 759800 taka.

",,
"How much project fee?

","About 19200 taka.

",,
project fee?,"About 19200 taka.

",,
"Which brand laptop?

",This is the DCL brand. This is our own product .,,
"Can I take a CSE class if I am not a major?

"," No possibilty there.
",,
"Does CSE offer a program in Computer Animation?

","Not , MCT offers some coursework in computer animation.  
",,
head of CSE ?,Prof. Dr. Syed Akhter Hossain is the head of CSE,,
Who is the head of CSE department?,Prof. Dr. Syed Akhter Hossain is the head of CSE,,
Who is   the Pro VC of DIU?,Dr. S.M. Mahbub Ul Haque Majumder is the honorable Pro VC of DIU,,
Who is   the VC of DIU?,Dr. Yousuf Mahbubul Islam is the honorable Vice Chancellor of DIU,,
Who is   the Vice Chancellor of DIU?,Dr. Yousuf Mahbubul Islam is the honorable Vice Chancellor of DIU,,
Who is the  Chairman of DIU?,Dr. Md. Sabur Khan is the honorable chairman of DIU.,,
Who is the dean of Faculty of Science and Information Technology?,Prof. Dr. S.M. Mahbub Ul Haque Majumder,,
Who is the Associate Dean of FSIT?,Professor Dr. Md. Fokhray Hossain,,
Who is the Associate Dean of Faculty of Science and Information Technology?,Professor Dr. Md. Fokhray Hossain,,
Who is the dean of FSIT?,Prof. Dr. S.M. Mahbub Ul Haque Majumder,,
" 
Who is  the Chancellor of DIU?
","Honorable president  Md. Abdul Hamid is the Chancellor of DIU.

",,
"What weights are attached to grades, work experience, personal statements, and other application details?

","The Admissions Committee looks at each application as a whole and attempts to assess the individual qualities of each applicant. Grades are the most important factor, and all admitted students are well-qualified academically. Beyond grades, however, CSE seeks applicants with a variety of interesting and compelling non-academic attributes -- for example, prior involvement in CSE, creativity, extra curricular activities, and strong communication skills

",,
"How do I choose whether to apply to the MS or the PhD program?

","The MS program is designed for individuals who are interested in further developing their knowledge and skill base in a rigorous academic program in preparation for either a PhD program or a professional position. With the diverse interests and goals of our students in mind, the program offers a flexible curriculum with either a research (thesis) track or a comprehensive exam. Our average MS student completes the program within 2 years.

",,
"How do I apply for Financial Aid?

","Please contact the DIU Office of Student Financial Aid for complete information on types of assistance for undergraduates.

",,
"Is there a minimum GPA for an application to be considered?

","There is no minimum GPA to apply, and there is no automatic admission or denial based on GPA. Everyone who has met the application requirements will be considered.  However, admission is competitive, and admitted students have strong grades.  In general, competitive applicants typically have grades of 3.5 and higher in related math, science, CSE, and English courses, with strong grades overall -- but there is no exact formula determining what grades will be competitive. Speak to a CSE advisor if you have concerns or questions about your grades.

",,
"Minimum GPA for CSE admission test?

","There is no minimum GPA to apply, and there is no automatic admission or denial based on GPA. Everyone who has met the application requirements will be considered.  However, admission is competitive, and admitted students have strong grades.  In general, competitive applicants typically have grades of 3.5 and higher in related math, science, CSE, and English courses, with strong grades overall -- but there is no exact formula determining what grades will be competitive. Speak to a CSE advisor if you have concerns or questions about your grades.

",,
"Are there special considerations for International Students?

","International students are considered for admissions.

",,
"Does CSE have any special admission programs for minority or female students?

","No. All applicants are reviewed and admitted on the same standards. It is illegal to consider race or gender in any admissions or hiring decisions for any program at any public school in the State of Washington. No preference is given to anyone based on race or gender.The department offers targeted recruiting and support opportunities for certain groups of students to help ensure students from all backgrounds are aware of the CSE program and feel welcome. CSE strongly believes in the educational value of bringing together capable students from a variety of backgrounds and therefore makes special efforts to encourage underrepresented students, such as those from minority backgrounds and women, to become aware of what the department offers and what each of them, as individuals, can offer the field of computer science.

",,
" My bachelor's degree isn't in CS. What kind of background should I have before applying to the program?

","To be considered for admission to any of our graduate programs, students usually have a bachelors degree in computer science, computer engineering, or a related discipline like electrical engineering. Occasionally applicants with degrees in fields such as mathematics or physics are considered for admission to the program, especially if they have some computer science background, such as a CS minor. In special circumstances, alternative undergraduate preparation will be considered (e.g., a biology major may be appropriate for a student interested in the application of information and computer science to biological problems, such as bioinformatics).

",,
"Do undergraduate students have the opportunity to participate in research?

","Yes.  Many undergraduates participate in faculty research, either to complete Honors requirements or for personal enrichment. Research experience is strongly recommended if you are considering graduate school. The department also encourages you to participate in other activities outside the classroom. This includes co-ops and internships, study abroad, and part-time employment.

",,
" 
Is there any program named CIS  ?
"," 

yes, Computer and Information Technology.",,
"How many undergraduates do you admit to the major?

","Currently, around 490 students per year are accepted into the CSE department. This includes both Computer Science and Computer Engineering.  The CSE Admissions Committee reviews all applications together, so both majors are equally competitive.  ",,
